"1",0,"3%",7,"2020-08-14",2020,"TV-MA","4 Seasons","International TV Shows","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
"2",1,"7:19",43,"2016-12-23",2016,"TV-MA","93 min","Dramas","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
"3",1,"23:59",61,"2018-12-20",2011,"R","78 min","Horror Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
"4",1,"9",76,"2017-11-16",2009,"PG-13","80 min","Action & Adventure","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
"5",1,"21",76,"2020-01-01",2008,"PG-13","123 min","Dramas","A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack."
"6",0,"46",72,"2017-07-01",2016,"TV-MA","1 Season","International TV Shows","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
"7",1,"122",18,"2020-06-01",2019,"TV-MA","95 min","Horror Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them."
"8",1,"187",76,"2019-11-01",1997,"R","119 min","Dramas","After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment."
"9",1,"706",29,"2019-04-01",2019,"TV-14","118 min","Horror Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
"10",1,"1920",29,"2017-12-15",2008,"TV-MA","143 min","Horror Movies","An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation."
"11",1,"1922",76,"2017-10-20",2017,"TV-MA","103 min","Dramas","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
"12",0,"1983",53,"2018-11-30",2018,"TV-MA","1 Season","Crime TV Shows","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
"13",0,"1994",43,"2019-05-17",2019,"TV-MA","1 Season","Crime TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
"14",1,"2,215",71,"2019-03-01",2018,"TV-MA","89 min","Documentaries","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017."
"15",1,"3022",76,"2020-03-19",2019,"R","91 min","Independent Movies","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
"16",1,"Oct-01",47,"2019-09-01",2014,"TV-14","149 min","Dramas","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
"17",0,"Feb-09","","2019-03-20",2018,"TV-14","1 Season","International TV Shows","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
"18",1,"22-Jul",48,"2018-10-10",2018,"R","144 min","Dramas","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
"19",1,"15-Aug",29,"2019-03-29",2019,"TV-14","124 min","Comedies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
"20",1,"'89",75,"2018-05-16",2017,"TV-PG","87 min","Sports Movies","Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
"21",1,"​​Kuch Bheege Alfaaz",29,"2018-09-01",2018,"TV-14","110 min","Dramas","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
"22",1,"​Goli Soda 2",29,"2018-09-15",2018,"TV-14","128 min","Action & Adventure","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
"23",1,"​Maj Rati ​​Keteki",29,"2018-09-15",2017,"TV-14","117 min","Dramas","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
